City,2030,2050,2070,2100
Guangzhou Guangdong,112574.87,330804.51,678115.67,1392257.68
Mumbai,15638.78,112355.95,328476.75,734545.88
New Orleans,35863.23,209210.13,369098.31,673667.42
Guayaquil,7680.05,49137.94,162316.08,412717.26
Alexandria,5833.43,49985.06,148374.56,352402.30
Shenzhen,4227.57,42053.13,141454.63,346411.61
Osaka-Kobe,17844.87,101069.14,180934.36,342336.46
Bangkok,2140.53,38691.83,125336.02,312502.98
Tokyo,9780.51,79752.00,141689.07,270356.43
Shanghai,406.96,15712.33,78033.51,212106.00
Tianjin,9882.28,45470.02,104425.94,219460.31
Nagoya,10376.27,64111.21,109175.08,204107.38
Hai Phong,727.70,17584.44,72179.16,187250.21
Abidjan,1980.78,20906.42,64364.21,151970.99
Dubai,704.67,10058.56,49625.63,127809.66
Boston,2982.09,24739.57,58017.09,115139.08
Ho Chi Minh City,1533.37,14510.06,49649.47,122075.08
Jakarta,5051.78,22502.57,53682.33,121461.62
New York,4505.37,26286.49,57258.75,111379.85
Miami,2858.28,12751.22,33896.83,73057.66
Chennai,1098.30,10346.80,30877.47,74816.73
Grande Vitoria,516.95,7190.08,28266.90,73157.73
Fukuoka-Kitakyushu,12112.46,22810.74,39888.05,74571.83
Xiamen,2652.80,15026.01,33427.25,71073.39
Surat,1104.43,9994.59,28074.72,64956.87
Dhaka,820.36,8860.41,27079.00,64971.60
Khulna,643.68,8347.29,25721.49,61708.73
Vancouver,8720.45,17356.03,29714.16,55974.76
Lome,156.04,5980.30,23502.83,58338.43
Taipei,2931.60,8518.47,18731.75,39098.82
Cochin,677.45,5980.92,16329.00,37918.27
Tampa,1313.42,6443.18,16128.07,34594.59
Hiroshima,5188.98,11007.64,19911.06,37778.16
San Francisco,262.14,1585.52,9390.93,27706.31
Hong Kong,267.25,3628.67,13051.11,32557.11
Palembang,1563.42,6458.41,15151.78,33113.89
San Juan,261.14,3385.25,11908.32,29661.19
Washington DC,496.02,5673.85,14225.11,29529.33
Houston,1223.75,7943.49,15447.31,29898.04
Los Angeles,599.15,5533.63,13560.93,26602.20
Ningbo,1619.99,5519.75,12627.46,27982.36
Virginia Beach,825.77,5459.83,12886.50,26059.13
Lagos,879.28,4917.24,12179.33,26088.24
Fuzhou,1427.70,4471.34,10402.69,23381.79
Dalian,230.32,2057.19,8364.91,21358.73
Manila,994.70,3894.41,9348.69,20542.04
Baltimore,692.20,4334.39,9748.21,19156.05
Wenzhou,1430.13,4116.10,8632.97,18115.38
Qingdao,521.51,3699.09,8038.72,16975.54
Rangoon,416.50,2440.53,6924.94,16336.77
Chittagong,115.65,1366.36,5730.09,14906.56
Philadelphia,653.10,3365.24,7091.25,13619.02
Conakry,157.81,1504.72,5000.53,11948.75
Dar-es-Salam,105.38,1357.57,4485.09,10721.70
Maputo,35.07,980.24,3939.36,10049.07
Rio de Janeiro,86.82,1066.69,4129.11,10255.89
Istanbul,29.77,520.13,2858.21,8249.37
Visakhapatnam,168.89,1406.20,3882.52,9093.04
Providence,293.99,1746.75,3901.48,7592.31
Karachi,386.45,1397.33,3645.50,7925.48
Surabaya,352.85,1477.29,3437.73,7609.96
Pusan,82.10,794.15,2902.89,7430.11
Seattle,121.49,552.79,2165.98,6001.60
Casablanca,27.69,608.55,2589.20,6434.67
Kuwait City,33.32,552.20,2695.99,6930.53
Recife,53.60,729.36,2718.50,6927.53
Odessa,37.21,417.16,2136.64,6087.70
Accra,109.18,923.86,2753.29,6415.91
Dakar,97.36,756.63,2375.62,5477.14
Rotterdam,41.83,578.01,2109.17,4763.39
Banghazi,29.65,478.88,1974.33,5045.70
Izmir,22.76,446.25,1806.97,4722.84
Kuala Lumpur,60.99,599.38,1964.63,4796.79
St Petersburg,27.96,224.41,1332.17,3390.99
Douala,86.95,626.47,1841.16,4239.23
Natal,32.68,413.56,1428.02,3464.01
Jiddah,234.28,766.79,1600.85,3286.61
Panama City,148.42,657.53,1508.03,3145.42
Brisbane,59.42,405.32,1274.40,3063.20
Algiers,26.19,388.15,1164.15,2770.20
Sydney,61.52,442.36,1274.97,2941.53
San Diego,34.76,323.06,921.41,2255.37
Santo Domingo,76.89,390.48,1065.20,2379.73
Santos,43.94,417.90,1159.11,2619.84
Yantai,60.62,531.60,1192.11,2508.56
Inchon,54.68,304.43,961.94,2357.26
Mogadishu,27.57,265.99,900.32,2145.46
Glasgow,7.95,58.98,367.01,1254.73
Maracaibo,15.81,230.12,804.80,1940.24
Durban,7.11,207.99,784.99,1984.49
Rabat,7.45,182.00,718.36,1749.06
Lisbon,24.19,190.45,696.99,1650.72
Belem,23.40,213.14,735.02,1791.63
Luanda,24.63,259.82,795.78,1856.53
Dublin,16.43,145.35,610.73,1499.40
Buenos Aires,37.84,193.32,704.53,1893.27
Cape Town,11.25,170.27,640.12,1634.63
Sapporo,184.61,377.97,743.82,1481.62
Ulsan,8.68,127.50,507.41,1325.04
Montreal,38.59,234.25,590.31,1222.36
Maceiro,12.66,137.01,487.96,1223.59
Porto Alegre,15.75,129.24,498.59,1297.63
Salvador,26.60,267.18,516.74,1021.95
Auckland,11.32,128.75,384.24,1017.43
Ujung Padang,14.39,138.05,408.45,963.79
Singapore,4.83,90.11,359.69,938.68
Marseille,8.58,87.20,347.79,852.62
Barcelona,8.23,83.42,319.91,772.78
Beirut,6.40,109.14,340.34,810.05
Perth,22.00,104.12,305.78,738.50
Hamburg,32.72,156.27,370.31,727.04
Namp'o,32.99,113.70,314.45,746.81
London,20.77,93.38,269.35,598.19
Hangzhou,38.37,145.11,326.24,693.97
Fortaleza,9.70,94.60,263.01,606.79
Barranquilla,34.24,128.17,279.48,574.51
Portland,10.07,92.06,225.23,496.76
Amsterdam,16.30,84.28,230.99,482.65
Montevideo,12.02,60.18,216.79,580.33
Tripoli,2.64,39.43,177.56,475.21
Porto,9.59,56.38,189.16,432.66
Athens,2.22,32.29,133.93,352.84
Copenhagen,11.45,46.08,149.11,333.90
Davao,13.89,76.03,173.09,371.86
Naples,4.18,43.42,121.52,283.83
Adelaide,6.20,33.49,103.52,252.51
Stockholm,1.31,6.56,39.73,137.68
Lima,10.81,47.89,108.08,236.67
Havana,1.54,20.29,62.07,141.02
San Jose,2.08,8.92,40.48,114.99
Melbourne,3.29,16.13,49.25,119.48
Helsinki,3.65,10.72,34.08,75.31
Port au Prince,2.47,12.60,35.39,81.51
Tel Aviv,0.16,2.70,11.59,29.97